Column|Format|QuestionText|dtcode
q125_6|CURRENCY|(SOUTH AMERICA) Charities, foundations, non-profit organisations - Non-listed debt products|13_34
q12ROW5_hidden|CURRENCY|(SOUTH AMERICA) Charities, foundations, non-profit organisations  TOTAL|13_35
q126_1|CURRENCY|(SOUTH AMERICA) Funds of funds - Non-listed/ commingled real estate funds/private REITs|13_36
q126_2|CURRENCY|(SOUTH AMERICA) Funds of funds - Separate accounts investing directly into real estate|13_37
q126_3|CURRENCY|(SOUTH AMERICA) Funds of funds - Separate accounts investing into indirect vehicles|13_38
q126_4|CURRENCY|(SOUTH AMERICA) Funds of funds - Joint ventures and club deals|13_39
q126_5|CURRENCY|(SOUTH AMERICA) Funds of funds - Funds of funds|13_40
q126_6|CURRENCY|(SOUTH AMERICA) Funds of funds - Non-listed debt products|13_41
q12ROW6_hidden|CURRENCY|(SOUTH AMERICA) Funds of funds TOTAL|13_42
q127_1|CURRENCY|(SOUTH AMERICA) High net worth individuals /Family offices - Non-listed/ commingled real estate funds/private REITs|13_43
q127_2|CURRENCY|(SOUTH AMERICA) High net worth individuals /Family offices - Separate accounts investing directly into real estate|13_44
q127_3|CURRENCY|(SOUTH AMERICA) High net worth individuals /Family offices - Separate accounts investing into indirect vehicles|13_45
q127_4|CURRENCY|(SOUTH AMERICA) High net worth individuals /Family offices - Joint ventures and club deals|13_46
q127_5|CURRENCY|(SOUTH AMERICA) High net worth individuals /Family offices - Funds of funds|13_47
q127_6|CURRENCY|(SOUTH AMERICA) High net worth individuals /Family offices - Non-listed debt products|13_48
q12ROW7_hidden|CURRENCY|(SOUTH AMERICA) High net worth individuals /Family offices TOTAL|13_49
q12other|CURRENCY|(SOUTH AMERICA) Other (please specify)|13_50
q128_1|CURRENCY|(SOUTH AMERICA) Other - Non-listed/ commingled real estate funds/private REITs|13_51
q128_2|CURRENCY|(SOUTH AMERICA) Other - Separate accounts investing directly into real estate|13_52
q128_3|CURRENCY|(SOUTH AMERICA) Other - Separate accounts investing into indirect vehicles|13_53
q128_4|CURRENCY|(SOUTH AMERICA) Other - Joint ventures and club deals|13_54
q128_5|CURRENCY|(SOUTH AMERICA) Other - Funds of funds|13_55
q128_6|CURRENCY|(SOUTH AMERICA) Other - Non-listed debt products|13_56
q12ROW8_hidden|CURRENCY|(SOUTH AMERICA) Other TOTAL|13_57
q12COL1_hidden|CURRENCY|(SOUTH AMERICA) Non-listed/ commingled real estate funds/private REITs TOTAL|13_58
q12COL2_hidden|CURRENCY|(SOUTH AMERICA) Separate accounts investing directly into real estate TOTAL|13_59
q12COL3_hidden|CURRENCY|(SOUTH AMERICA) Separate accounts investing into indirect vehicles TOTAL|13_60
q12COL4_hidden|CURRENCY|(SOUTH AMERICA) Joint ventures and club deals TOTAL|13_61
q12COL5_hidden|CURRENCY|(SOUTH AMERICA) Funds of funds TOTAL|13_62
q12COL6_hidden|CURRENCY|(SOUTH AMERICA) Non-listed debt products TOTAL|13_63
q12GRANDTotal_hidden|CURRENCY|(SOUTH AMERICA) Total capital  raised in 2015 from South American strategy|13_64
||For your Africa* strategy, how much capital did your company raise in 2015?|14
q131_1|CURRENCY|(AFRICA) Pension funds - Non-listed/ commingled real estate funds/private REITs|14_1
q131_2|CURRENCY|(AFRICA) Pension funds - Separate accounts investing directly into real estate|14_2
q131_3|CURRENCY|(AFRICA) Pension funds - Separate accounts investing into indirect vehicles|14_3
q131_4|CURRENCY|(AFRICA) Pension funds - Joint ventures and club deals|14_4
q131_5|CURRENCY|(AFRICA) Pension funds - Funds of funds|14_5
q131_6|CURRENCY|(AFRICA) Pension funds - Non-listed debt products|14_6
q13ROW1_hidden|CURRENCY|(AFRICA) Pension funds TOTAL|14_7
q132_1|CURRENCY|(AFRICA) Insurance companies - Non-listed/ commingled real estate funds/private REITs|14_8
q132_2|CURRENCY|(AFRICA) Insurance companies - Separate accounts investing directly into real estate|14_9
q132_3|CURRENCY|(AFRICA) Insurance companies - Separate accounts investing into indirect vehicles|14_10
q132_4|CURRENCY|(AFRICA) Insurance companies - Joint ventures and club deals|14_11
q132_5|CURRENCY|(AFRICA) Insurance companies - Funds of funds|14_12
q132_6|CURRENCY|(AFRICA) Insurance companies - Non-listed debt products|14_13
q13ROW2_hidden|CURRENCY|(AFRICA) Insurance companies TOTAL|14_14
q133_1|CURRENCY|(AFRICA) Sovereign wealth funds - Non-listed/ commingled real estate funds/private REITs|14_15
q133_2|CURRENCY|(AFRICA) Sovereign wealth funds - Separate accounts investing directly into real estate|14_16
q133_3|CURRENCY|(AFRICA) Sovereign wealth funds - Separate accounts investing into indirect vehicles|14_17
q133_4|CURRENCY|(AFRICA) Sovereign wealth funds - Joint ventures and club deals|14_18
q133_5|CURRENCY|(AFRICA) Sovereign wealth funds - Funds of funds|14_19
