Column|Format|QuestionText|dtcode
q55_4|CURRENCY|Charities, foundations, non-profit organisations - Joint ventures and club deals|6_32
q55_5|CURRENCY|Charities, foundations, non-profit organisations - Funds of funds|6_33
q55_6|CURRENCY|Charities, foundations, non-profit organisations - Non-listed debt products|6_34
q5ROW5_hidden|CURRENCY|Charities, foundations, non-profit organisations  TOTAL|6_35
q56_1|CURRENCY|Funds of funds - Non-listed/ commingled real estate funds/private REITs|6_36
q56_2|CURRENCY|Funds of funds - Separate accounts investing directly into real estate|6_37
q56_3|CURRENCY|Funds of funds - Separate accounts investing into indirect vehicles|6_38
q56_4|CURRENCY|Funds of funds - Joint ventures and club deals|6_39
q56_5|CURRENCY|Funds of funds - Funds of funds|6_40
q56_6|CURRENCY|Funds of funds - Non-listed debt products|6_41
q5ROW6_hidden|CURRENCY|Funds of funds TOTAL|6_42
q57_1|CURRENCY|High net worth individuals /Family offices - Non-listed/ commingled real estate funds/private REITs|6_43
q57_2|CURRENCY|High net worth individuals /Family offices - Separate accounts investing directly into real estate|6_44
q57_3|CURRENCY|High net worth individuals /Family offices - Separate accounts investing into indirect vehicles|6_45
q57_4|CURRENCY|High net worth individuals /Family offices - Joint ventures and club deals|6_46
q57_5|CURRENCY|High net worth individuals /Family offices - Funds of funds|6_47
q57_6|CURRENCY|High net worth individuals /Family offices - Non-listed debt products|6_48
q5ROW7_hidden|CURRENCY|High net worth individuals /Family offices TOTAL|6_49
q5other|CURRENCY|Other (please specify)|6_50
q58_1|CURRENCY|Other - Non-listed/ commingled real estate funds/private REITs|6_51
q58_2|CURRENCY|Other - Separate accounts investing directly into real estate|6_52
q58_3|CURRENCY|Other - Separate accounts investing into indirect vehicles|6_53
q58_4|CURRENCY|Other - Joint ventures and club deals|6_54
q58_5|CURRENCY|Other - Funds of funds|6_55
q58_6|CURRENCY|Other - Non-listed debt products|6_56
q5ROW8_hidden|CURRENCY|Other TOTAL|6_57
q5COL1_hidden|CURRENCY|Non-listed/ commingled real estate funds/private REITs TOTAL|6_58
q5COL2_hidden|CURRENCY|Separate accounts investing directly into real estate TOTAL|6_59
q5COL3_hidden|CURRENCY|Separate accounts investing into indirect vehicles TOTAL|6_60
q5COL4_hidden|CURRENCY|Joint ventures and club deals TOTAL|6_61
q5COL5_hidden|CURRENCY|Funds of funds TOTAL|6_62
q5COL6_hidden|CURRENCY|Non-listed debt products TOTAL|6_63
q5GRANDTotal_hidden|CURRENCY|Total capital company raised in 2015 from institutional investors by investor type (million)|6_64
||How much capital did your company raise in 2015 from Institutional Investors by investor domicile (million)?|7
q61_1|CURRENCY|Europe - Non-listed/ commingled real estate funds/private REITs|7_1
q61_2|CURRENCY|Europe - Separate accounts investing directly into real estate|7_2
q61_3|CURRENCY|Europe - Separate accounts investing into indirect vehicles|7_3
q61_4|CURRENCY|Europe - Joint ventures and club deals|7_4
q61_5|CURRENCY|Europe - Funds of funds|7_5
q61_6|CURRENCY|Europe - Non-listed debt products|7_6
q6ROW1_hidden|CURRENCY|Europe  TOTAL|7_7
q62_1|CURRENCY|Asia Pacific - Non-listed/ commingled real estate funds/private REITs|7_8
q62_2|CURRENCY|Asia Pacific - Separate accounts investing directly into real estate|7_9
q62_3|CURRENCY|Asia Pacific - Separate accounts investing into indirect vehicles|7_10
q62_4|CURRENCY|Asia Pacific - Joint ventures and club deals|7_11
q62_5|CURRENCY|Asia Pacific - Funds of funds|7_12
q62_6|CURRENCY|Asia Pacific - Non-listed debt products|7_13
q6ROW2_hidden|CURRENCY|Asia Pacific  TOTAL|7_14
q63_1|CURRENCY|North America - Non-listed/ commingled real estate funds/private REITs|7_15
q63_2|CURRENCY|North America - Separate accounts investing directly into real estate|7_16
q63_3|CURRENCY|North America - Separate accounts investing into indirect vehicles|7_17
q63_4|CURRENCY|North America - Joint ventures and club deals|7_18
q63_5|CURRENCY|North America - Funds of funds|7_19
q63_6|CURRENCY|North America - Non-listed debt products|7_20
q6ROW3_hidden|CURRENCY|North America  TOTAL|7_21
q64_1|CURRENCY|South America - Non-listed/ commingled real estate funds/private REITs|7_22
q64_2|CURRENCY|South America - Separate accounts investing directly into real estate|7_23
q64_3|CURRENCY|South America - Separate accounts investing into indirect vehicles|7_24
q64_4|CURRENCY|South America - Joint ventures and club deals|7_25
q64_5|CURRENCY|South America - Funds of funds|7_26
q64_6|CURRENCY|South America - Non-listed debt products|7_27
q6ROW4_hidden|CURRENCY|South America  TOTAL|7_28
q65_1|CURRENCY|Africa - Non-listed/ commingled real estate funds/private REITs|7_29
q65_2|CURRENCY|Africa - Separate accounts investing directly into real estate|7_30
q65_3|CURRENCY|Africa - Separate accounts investing into indirect vehicles|7_31
q65_4|CURRENCY|Africa - Joint ventures and club deals|7_32
q65_5|CURRENCY|Africa - Funds of funds|7_33
q65_6|CURRENCY|Africa - Non-listed debt products|7_34
q6ROW5_hidden|CURRENCY|Africa  TOTAL|7_35
q6COL1_hidden|CURRENCY|Non-listed/ commingled real estate funds/private REITs TOTAL|7_36
q6COL2_hidden|CURRENCY|Separate accounts investing directly into real estate TOTAL|7_37
q6COL3_hidden|CURRENCY|Separate accounts investing into indirect vehicles TOTAL|7_38
q6COL4_hidden|CURRENCY|Joint ventures and club deals TOTAL|7_39
q6COL5_hidden|CURRENCY|Funds of funds TOTAL|7_40
q6COL6_hidden|CURRENCY|Non-listed debt products TOTAL|7_41
q6GRANDTotal_hidden|CURRENCY|Total capital company raised in 2015 from Institutional Investors by investor domicile (million)|7_42
||What percentage of the total capital was raised via...?|8
q7_1|%|Placement agent|8_1
q7_2|%|Investors contacting you directly|8_2
q7_3|%|Your own direct relationship with investors|8_3
q7other|TEXT|Other (please specify)|8_4
q7_4|%|Other|8_5
||For your European* strategy, how much capital did your company raise in 2015?|9
q81_1|CURRENCY|(EUROPE) Pension funds - Non-listed/ commingled real estate funds/private REITs|9_1
q81_2|CURRENCY|(EUROPE) Pension funds - Separate accounts investing directly into real estate|9_2
q81_3|CURRENCY|(EUROPE) Pension funds - Separate accounts investing into indirect vehicles|9_3
q81_4|CURRENCY|(EUROPE) Pension funds - Joint ventures and club deals|9_4
q81_5|CURRENCY|(EUROPE) Pension funds - Funds of funds|9_5
q81_6|CURRENCY|(EUROPE) Pension funds - Non-listed debt products|9_6
q8ROW1_hidden|CURRENCY|(EUROPE) Pension funds TOTAL|9_7
q82_1|CURRENCY|(EUROPE) Insurance companies - Non-listed/ commingled real estate funds/private REITs|9_8
q82_2|CURRENCY|(EUROPE) Insurance companies - Separate accounts investing directly into real estate|9_9
q82_3|CURRENCY|(EUROPE) Insurance companies - Separate accounts investing into indirect vehicles|9_10
q82_4|CURRENCY|(EUROPE) Insurance companies - Joint ventures and club deals|9_11
q82_5|CURRENCY|(EUROPE) Insurance companies - Funds of funds|9_12
q82_6|CURRENCY|(EUROPE) Insurance companies - Non-listed debt products|9_13
q8ROW2_hidden|CURRENCY|(EUROPE) Insurance companies TOTAL|9_14
q83_1|CURRENCY|(EUROPE) Sovereign wealth funds - Non-listed/ commingled real estate funds/private REITs|9_15
q83_2|CURRENCY|(EUROPE) Sovereign wealth funds - Separate accounts investing directly into real estate|9_16
q83_3|CURRENCY|(EUROPE) Sovereign wealth funds - Separate accounts investing into indirect vehicles|9_17
q83_4|CURRENCY|(EUROPE) Sovereign wealth funds - Joint ventures and club deals|9_18
q83_5|CURRENCY|(EUROPE) Sovereign wealth funds - Funds of funds|9_19
q83_6|CURRENCY|(EUROPE) Sovereign wealth funds - Non-listed debt products|9_20
q8ROW3_hidden|CURRENCY|(EUROPE) Sovereign wealth funds TOTAL|9_21
q84_1|CURRENCY|(EUROPE) Government institutions - Non-listed/ commingled real estate funds/private REITs|9_22
q84_2|CURRENCY|(EUROPE) Government institutions - Separate accounts investing directly into real estate|9_23
q84_3|CURRENCY|(EUROPE) Government institutions - Separate accounts investing into indirect vehicles|9_24
q84_4|CURRENCY|(EUROPE) Government institutions - Joint ventures and club deals|9_25
q84_5|CURRENCY|(EUROPE) Government institutions - Funds of funds|9_26
q84_6|CURRENCY|(EUROPE) Government institutions - Non-listed debt products|9_27
q8ROW4_hidden|CURRENCY|(EUROPE) Government institutions TOTAL|9_28
q85_1|CURRENCY|(EUROPE) Charities, foundations, non-profit organisations - Non-listed/ commingled real estate funds/private REITs|9_29
q85_2|CURRENCY|(EUROPE) Charities, foundations, non-profit organisations - Separate accounts investing directly into real estate|9_30
q85_3|CURRENCY|(EUROPE) Charities, foundations, non-profit organisations - Separate accounts investing into indirect vehicles|9_31
q85_4|CURRENCY|(EUROPE) Charities, foundations, non-profit organisations - Joint ventures and club deals|9_32
q85_5|CURRENCY|(EUROPE) Charities, foundations, non-profit organisations - Funds of funds|9_33
q85_6|CURRENCY|(EUROPE) Charities, foundations, non-profit organisations - Non-listed debt products|9_34
q8ROW5_hidden|CURRENCY|(EUROPE) Charities, foundations, non-profit organisations  TOTAL|9_35
q86_1|CURRENCY|(EUROPE) Funds of funds - Non-listed/ commingled real estate funds/private REITs|9_36
q86_2|CURRENCY|(EUROPE) Funds of funds - Separate accounts investing directly into real estate|9_37
q86_3|CURRENCY|(EUROPE) Funds of funds - Separate accounts investing into indirect vehicles|9_38
q86_4|CURRENCY|(EUROPE) Funds of funds - Joint ventures and club deals|9_39
q86_5|CURRENCY|(EUROPE) Funds of funds - Funds of funds|9_40
q86_6|CURRENCY|(EUROPE) Funds of funds - Non-listed debt products|9_41
q8ROW6_hidden|CURRENCY|(EUROPE) Funds of funds TOTAL|9_42
q87_1|CURRENCY|(EUROPE) High net worth individuals /Family offices - Non-listed/ commingled real estate funds/private REITs|9_43
q87_2|CURRENCY|(EUROPE) High net worth individuals /Family offices - Separate accounts investing directly into real estate|9_44
q87_3|CURRENCY|(EUROPE) High net worth individuals /Family offices - Separate accounts investing into indirect vehicles|9_45
q87_4|CURRENCY|(EUROPE) High net worth individuals /Family offices - Joint ventures and club deals|9_46
q87_5|CURRENCY|(EUROPE) High net worth individuals /Family offices - Funds of funds|9_47
q87_6|CURRENCY|(EUROPE) High net worth individuals /Family offices - Non-listed debt products|9_48
q8ROW7_hidden|CURRENCY|(EUROPE) High net worth individuals /Family offices TOTAL|9_49
q8other|CURRENCY|(EUROPE) Other (please specify)|9_50
q88_1|CURRENCY|(EUROPE) Other - Non-listed/ commingled real estate funds/private REITs|9_51
q88_2|CURRENCY|(EUROPE) Other - Separate accounts investing directly into real estate|9_52
q88_3|CURRENCY|(EUROPE) Other - Separate accounts investing into indirect vehicles|9_53
q88_4|CURRENCY|(EUROPE) Other - Joint ventures and club deals|9_54
q88_5|CURRENCY|(EUROPE) Other - Funds of funds|9_55
q88_6|CURRENCY|(EUROPE) Other - Non-listed debt products|9_56
q8ROW8_hidden|CURRENCY|(EUROPE) Other TOTAL|9_57
q8COL1_hidden|CURRENCY|(EUROPE) Non-listed/ commingled real estate funds/private REITs TOTAL|9_58
q8COL2_hidden|CURRENCY|(EUROPE) Separate accounts investing directly into real estate TOTAL|9_59
q8COL3_hidden|CURRENCY|(EUROPE) Separate accounts investing into indirect vehicles TOTAL|9_60
q8COL4_hidden|CURRENCY|(EUROPE) Joint ventures and club deals TOTAL|9_61
q8COL5_hidden|CURRENCY|(EUROPE) Funds of funds TOTAL|9_62
q8COL6_hidden|CURRENCY|(EUROPE) Non-listed debt products TOTAL|9_63
q8GRANDTotal_hidden|CURRENCY|(EUROPE) Total capital  raised in 2015 from European strategy|9_64
||For your Asia Pacific* strategy, how much capital did your company raise in 2015?|10
q91_1|CURRENCY|(ASIA PACIFIC) Pension funds - Non-listed/ commingled real estate funds/private REITs|10_1
q91_2|CURRENCY|(ASIA PACIFIC) Pension funds - Separate accounts investing directly into real estate|10_2
q91_3|CURRENCY|(ASIA PACIFIC) Pension funds - Separate accounts investing into indirect vehicles|10_3
q91_4|CURRENCY|(ASIA PACIFIC) Pension funds - Joint ventures and club deals|10_4
q91_5|CURRENCY|(ASIA PACIFIC) Pension funds - Funds of funds|10_5
q91_6|CURRENCY|(ASIA PACIFIC) Pension funds - Non-listed debt products|10_6
q9ROW1_hidden|CURRENCY|(ASIA PACIFIC) Pension funds TOTAL|10_7
q92_1|CURRENCY|(ASIA PACIFIC) Insurance companies - Non-listed/ commingled real estate funds/private REITs|10_8
q92_2|CURRENCY|(ASIA PACIFIC) Insurance companies - Separate accounts investing directly into real estate|10_9
q92_3|CURRENCY|(ASIA PACIFIC) Insurance companies - Separate accounts investing into indirect vehicles|10_10
q92_4|CURRENCY|(ASIA PACIFIC) Insurance companies - Joint ventures and club deals|10_11
q92_5|CURRENCY|(ASIA PACIFIC) Insurance companies - Funds of funds|10_12
q92_6|CURRENCY|(ASIA PACIFIC) Insurance companies - Non-listed debt products|10_13
q9ROW2_hidden|CURRENCY|(ASIA PACIFIC) Insurance companies TOTAL|10_14
q93_1|CURRENCY|(ASIA PACIFIC) Sovereign wealth funds - Non-listed/ commingled real estate funds/private REITs|10_15
q93_2|CURRENCY|(ASIA PACIFIC) Sovereign wealth funds - Separate accounts investing directly into real estate|10_16
q93_3|CURRENCY|(ASIA PACIFIC) Sovereign wealth funds - Separate accounts investing into indirect vehicles|10_17
q93_4|CURRENCY|(ASIA PACIFIC) Sovereign wealth funds - Joint ventures and club deals|10_18
q93_5|CURRENCY|(ASIA PACIFIC) Sovereign wealth funds - Funds of funds|10_19
q93_6|CURRENCY|(ASIA PACIFIC) Sovereign wealth funds - Non-listed debt products|10_20
q9ROW3_hidden|CURRENCY|(ASIA PACIFIC) Sovereign wealth funds TOTAL|10_21
q94_1|CURRENCY|(ASIA PACIFIC) Government institutions - Non-listed/ commingled real estate funds/private REITs|10_22
q94_2|CURRENCY|(ASIA PACIFIC) Government institutions - Separate accounts investing directly into real estate|10_23
q94_3|CURRENCY|(ASIA PACIFIC) Government institutions - Separate accounts investing into indirect vehicles|10_24
q94_4|CURRENCY|(ASIA PACIFIC) Government institutions - Joint ventures and club deals|10_25
q94_5|CURRENCY|(ASIA PACIFIC) Government institutions - Funds of funds|10_26
q94_6|CURRENCY|(ASIA PACIFIC) Government institutions - Non-listed debt products|10_27
q9ROW4_hidden|CURRENCY|(ASIA PACIFIC) Government institutions TOTAL|10_28
q95_1|CURRENCY|(ASIA PACIFIC) Charities, foundations, non-profit organisations - Non-listed/ commingled real estate funds/private REITs|10_29
q95_2|CURRENCY|(ASIA PACIFIC) Charities, foundations, non-profit organisations - Separate accounts investing directly into real estate|10_30
q95_3|CURRENCY|(ASIA PACIFIC) Charities, foundations, non-profit organisations - Separate accounts investing into indirect vehicles|10_31
q95_4|CURRENCY|(ASIA PACIFIC) Charities, foundations, non-profit organisations - Joint ventures and club deals|10_32
q95_5|CURRENCY|(ASIA PACIFIC) Charities, foundations, non-profit organisations - Funds of funds|10_33
q95_6|CURRENCY|(ASIA PACIFIC) Charities, foundations, non-profit organisations - Non-listed debt products|10_34
q9ROW5_hidden|CURRENCY|(ASIA PACIFIC) Charities, foundations, non-profit organisations  TOTAL|10_35
q96_1|CURRENCY|(ASIA PACIFIC) Funds of funds - Non-listed/ commingled real estate funds/private REITs|10_36
q96_2|CURRENCY|(ASIA PACIFIC) Funds of funds - Separate accounts investing directly into real estate|10_37
q96_3|CURRENCY|(ASIA PACIFIC) Funds of funds - Separate accounts investing into indirect vehicles|10_38
q96_4|CURRENCY|(ASIA PACIFIC) Funds of funds - Joint ventures and club deals|10_39
q96_5|CURRENCY|(ASIA PACIFIC) Funds of funds - Funds of funds|10_40
q96_6|CURRENCY|(ASIA PACIFIC) Funds of funds - Non-listed debt products|10_41
q9ROW6_hidden|CURRENCY|(ASIA PACIFIC) Funds of funds TOTAL|10_42
q97_1|CURRENCY|(ASIA PACIFIC) High net worth individuals /Family offices - Non-listed/ commingled real estate funds/private REITs|10_43
q97_2|CURRENCY|(ASIA PACIFIC) High net worth individuals /Family offices - Separate accounts investing directly into real estate|10_44
q97_3|CURRENCY|(ASIA PACIFIC) High net worth individuals /Family offices - Separate accounts investing into indirect vehicles|10_45
q97_4|CURRENCY|(ASIA PACIFIC) High net worth individuals /Family offices - Joint ventures and club deals|10_46
q97_5|CURRENCY|(ASIA PACIFIC) High net worth individuals /Family offices - Funds of funds|10_47
q97_6|CURRENCY|(ASIA PACIFIC) High net worth individuals /Family offices - Non-listed debt products|10_48
q9ROW7_hidden|CURRENCY|(ASIA PACIFIC) High net worth individuals /Family offices TOTAL|10_49
q9other|CURRENCY|(ASIA PACIFIC) Other (please specify)|10_50
q98_1|CURRENCY|(ASIA PACIFIC) Other - Non-listed/ commingled real estate funds/private REITs|10_51
q98_2|CURRENCY|(ASIA PACIFIC) Other - Separate accounts investing directly into real estate|10_52
q98_3|CURRENCY|(ASIA PACIFIC) Other - Separate accounts investing into indirect vehicles|10_53
q98_4|CURRENCY|(ASIA PACIFIC) Other - Joint ventures and club deals|10_54
q98_5|CURRENCY|(ASIA PACIFIC) Other - Funds of funds|10_55
q98_6|CURRENCY|(ASIA PACIFIC) Other - Non-listed debt products|10_56
q9ROW8_hidden|CURRENCY|(ASIA PACIFIC) Other TOTAL|10_57
q9COL1_hidden|CURRENCY|(ASIA PACIFIC) Non-listed/ commingled real estate funds/private REITs TOTAL|10_58
q9COL2_hidden|CURRENCY|(ASIA PACIFIC) Separate accounts investing directly into real estate TOTAL|10_59
q9COL3_hidden|CURRENCY|(ASIA PACIFIC) Separate accounts investing into indirect vehicles TOTAL|10_60
q9COL4_hidden|CURRENCY|(ASIA PACIFIC) Joint ventures and club deals TOTAL|10_61
q9COL5_hidden|CURRENCY|(ASIA PACIFIC) Funds of funds TOTAL|10_62
q9COL6_hidden|CURRENCY|(ASIA PACIFIC) Non-listed debt products TOTAL|10_63
q9GRANDTotal_hidden|CURRENCY|(ASIA PACIFIC) Total capital  raised in 2015 from Asia Pacific strategy|10_64
||For your North American* strategy, how much capital did your company raise in 2015?|11
q101_1|CURRENCY|(NORTH AMERICA) Pension funds - Non-listed/ commingled real estate funds/private REITs|11_1
q101_2|CURRENCY|(NORTH AMERICA) Pension funds - Separate accounts investing directly into real estate|11_2
q101_3|CURRENCY|(NORTH AMERICA) Pension funds - Separate accounts investing into indirect vehicles|11_3
q101_4|CURRENCY|(NORTH AMERICA) Pension funds - Joint ventures and club deals|11_4
q101_5|CURRENCY|(NORTH AMERICA) Pension funds - Funds of funds|11_5
q101_6|CURRENCY|(NORTH AMERICA) Pension funds - Non-listed debt products|11_6
q10ROW1_hidden|CURRENCY|(NORTH AMERICA) Pension funds TOTAL|11_7
q102_1|CURRENCY|(NORTH AMERICA) Insurance companies - Non-listed/ commingled real estate funds/private REITs|11_8
q102_2|CURRENCY|(NORTH AMERICA) Insurance companies - Separate accounts investing directly into real estate|11_9
q102_3|CURRENCY|(NORTH AMERICA) Insurance companies - Separate accounts investing into indirect vehicles|11_10
q102_4|CURRENCY|(NORTH AMERICA) Insurance companies - Joint ventures and club deals|11_11
q102_5|CURRENCY|(NORTH AMERICA) Insurance companies - Funds of funds|11_12
q102_6|CURRENCY|(NORTH AMERICA) Insurance companies - Non-listed debt products|11_13
q10ROW2_hidden|CURRENCY|(NORTH AMERICA) Insurance companies TOTAL|11_14
q103_1|CURRENCY|(NORTH AMERICA) Sovereign wealth funds - Non-listed/ commingled real estate funds/private REITs|11_15
q103_2|CURRENCY|(NORTH AMERICA) Sovereign wealth funds - Separate accounts investing directly into real estate|11_16
q103_3|CURRENCY|(NORTH AMERICA) Sovereign wealth funds - Separate accounts investing into indirect vehicles|11_17
q103_4|CURRENCY|(NORTH AMERICA) Sovereign wealth funds - Joint ventures and club deals|11_18
q103_5|CURRENCY|(NORTH AMERICA) Sovereign wealth funds - Funds of funds|11_19
q103_6|CURRENCY|(NORTH AMERICA) Sovereign wealth funds - Non-listed debt products|11_20
q10ROW3_hidden|CURRENCY|(NORTH AMERICA) Sovereign wealth funds TOTAL|11_21
q104_1|CURRENCY|(NORTH AMERICA) Government institutions - Non-listed/ commingled real estate funds/private REITs|11_22
q104_2|CURRENCY|(NORTH AMERICA) Government institutions - Separate accounts investing directly into real estate|11_23
q104_3|CURRENCY|(NORTH AMERICA) Government institutions - Separate accounts investing into indirect vehicles|11_24
q104_4|CURRENCY|(NORTH AMERICA) Government institutions - Joint ventures and club deals|11_25
q104_5|CURRENCY|(NORTH AMERICA) Government institutions - Funds of funds|11_26
q104_6|CURRENCY|(NORTH AMERICA) Government institutions - Non-listed debt products|11_27
q10ROW4_hidden|CURRENCY|(NORTH AMERICA) Government institutions TOTAL|11_28
q105_1|CURRENCY|(NORTH AMERICA) Charities, foundations, non-profit organisations - Non-listed/ commingled real estate funds/private REITs|11_29
q105_2|CURRENCY|(NORTH AMERICA) Charities, foundations, non-profit organisations - Separate accounts investing directly into real estate|11_30
q105_3|CURRENCY|(NORTH AMERICA) Charities, foundations, non-profit organisations - Separate accounts investing into indirect vehicles|11_31
q105_4|CURRENCY|(NORTH AMERICA) Charities, foundations, non-profit organisations - Joint ventures and club deals|11_32
q105_5|CURRENCY|(NORTH AMERICA) Charities, foundations, non-profit organisations - Funds of funds|11_33
q105_6|CURRENCY|(NORTH AMERICA) Charities, foundations, non-profit organisations - Non-listed debt products|11_34
q10ROW5_hidden|CURRENCY|(NORTH AMERICA) Charities, foundations, non-profit organisations  TOTAL|11_35
q106_1|CURRENCY|(NORTH AMERICA) Funds of funds - Non-listed/ commingled real estate funds/private REITs|11_36
q106_2|CURRENCY|(NORTH AMERICA) Funds of funds - Separate accounts investing directly into real estate|11_37
q106_3|CURRENCY|(NORTH AMERICA) Funds of funds - Separate accounts investing into indirect vehicles|11_38
q106_4|CURRENCY|(NORTH AMERICA) Funds of funds - Joint ventures and club deals|11_39
q106_5|CURRENCY|(NORTH AMERICA) Funds of funds - Funds of funds|11_40
q106_6|CURRENCY|(NORTH AMERICA) Funds of funds - Non-listed debt products|11_41
q10ROW6_hidden|CURRENCY|(NORTH AMERICA) Funds of funds TOTAL|11_42
q107_1|CURRENCY|(NORTH AMERICA) High net worth individuals /Family offices - Non-listed/ commingled real estate funds/private REITs|11_43
q107_2|CURRENCY|(NORTH AMERICA) High net worth individuals /Family offices - Separate accounts investing directly into real estate|11_44
q107_3|CURRENCY|(NORTH AMERICA) High net worth individuals /Family offices - Separate accounts investing into indirect vehicles|11_45
q107_4|CURRENCY|(NORTH AMERICA) High net worth individuals /Family offices - Joint ventures and club deals|11_46
q107_5|CURRENCY|(NORTH AMERICA) High net worth individuals /Family offices - Funds of funds|11_47
q107_6|CURRENCY|(NORTH AMERICA) High net worth individuals /Family offices - Non-listed debt products|11_48
q10ROW7_hidden|CURRENCY|(NORTH AMERICA) High net worth individuals /Family offices TOTAL|11_49
q10other|CURRENCY|(NORTH AMERICA) Other (please specify)|11_50
q108_1|CURRENCY|(NORTH AMERICA) Other - Non-listed/ commingled real estate funds/private REITs|11_51
q108_2|CURRENCY|(NORTH AMERICA) Other - Separate accounts investing directly into real estate|11_52
q108_3|CURRENCY|(NORTH AMERICA) Other - Separate accounts investing into indirect vehicles|11_53
q108_4|CURRENCY|(NORTH AMERICA) Other - Joint ventures and club deals|11_54
q108_5|CURRENCY|(NORTH AMERICA) Other - Funds of funds|11_55
q108_6|CURRENCY|(NORTH AMERICA) Other - Non-listed debt products|11_56
q10ROW8_hidden|CURRENCY|(NORTH AMERICA) Other TOTAL|11_57
q10COL1_hidden|CURRENCY|(NORTH AMERICA) Non-listed/ commingled real estate funds/private REITs TOTAL|11_58
q10COL2_hidden|CURRENCY|(NORTH AMERICA) Separate accounts investing directly into real estate TOTAL|11_59
q10COL3_hidden|CURRENCY|(NORTH AMERICA) Separate accounts investing into indirect vehicles TOTAL|11_60
q10COL4_hidden|CURRENCY|(NORTH AMERICA) Joint ventures and club deals TOTAL|11_61
q10COL5_hidden|CURRENCY|(NORTH AMERICA) Funds of funds TOTAL|11_62
q10COL6_hidden|CURRENCY|(NORTH AMERICA) Non-listed debt products TOTAL|11_63
q10GRANDTotal_hidden|CURRENCY|(NORTH AMERICA) Total capital  raised in 2015 from North American strategy|11_64
||For your Global* strategy, how much capital did your company raise in 2015?|12
q111_1|CURRENCY|(GLOBAL) Pension funds - Non-listed/ commingled real estate funds/private REITs|12_1
q111_2|CURRENCY|(GLOBAL) Pension funds - Separate accounts investing directly into real estate|12_2
q111_3|CURRENCY|(GLOBAL) Pension funds - Separate accounts investing into indirect vehicles|12_3
q111_4|CURRENCY|(GLOBAL) Pension funds - Joint ventures and club deals|12_4
q111_5|CURRENCY|(GLOBAL) Pension funds - Funds of funds|12_5
q111_6|CURRENCY|(GLOBAL) Pension funds - Non-listed debt products|12_6
q11ROW1_hidden|CURRENCY|(GLOBAL) Pension funds TOTAL|12_7
q112_1|CURRENCY|(GLOBAL) Insurance companies - Non-listed/ commingled real estate funds/private REITs|12_8
q112_2|CURRENCY|(GLOBAL) Insurance companies - Separate accounts investing directly into real estate|12_9
q112_3|CURRENCY|(GLOBAL) Insurance companies - Separate accounts investing into indirect vehicles|12_10
q112_4|CURRENCY|(GLOBAL) Insurance companies - Joint ventures and club deals|12_11
q112_5|CURRENCY|(GLOBAL) Insurance companies - Funds of funds|12_12
q112_6|CURRENCY|(GLOBAL) Insurance companies - Non-listed debt products|12_13
q11ROW2_hidden|CURRENCY|(GLOBAL) Insurance companies TOTAL|12_14
q113_1|CURRENCY|(GLOBAL) Sovereign wealth funds - Non-listed/ commingled real estate funds/private REITs|12_15
q113_2|CURRENCY|(GLOBAL) Sovereign wealth funds - Separate accounts investing directly into real estate|12_16
q113_3|CURRENCY|(GLOBAL) Sovereign wealth funds - Separate accounts investing into indirect vehicles|12_17
q113_4|CURRENCY|(GLOBAL) Sovereign wealth funds - Joint ventures and club deals|12_18
q113_5|CURRENCY|(GLOBAL) Sovereign wealth funds - Funds of funds|12_19
q113_6|CURRENCY|(GLOBAL) Sovereign wealth funds - Non-listed debt products|12_20
q11ROW3_hidden|CURRENCY|(GLOBAL) Sovereign wealth funds TOTAL|12_21
q114_1|CURRENCY|(GLOBAL) Government institutions - Non-listed/ commingled real estate funds/private REITs|12_22
q114_2|CURRENCY|(GLOBAL) Government institutions - Separate accounts investing directly into real estate|12_23
q114_3|CURRENCY|(GLOBAL) Government institutions - Separate accounts investing into indirect vehicles|12_24
q114_4|CURRENCY|(GLOBAL) Government institutions - Joint ventures and club deals|12_25
q114_5|CURRENCY|(GLOBAL) Government institutions - Funds of funds|12_26
q114_6|CURRENCY|(GLOBAL) Government institutions - Non-listed debt products|12_27
q11ROW4_hidden|CURRENCY|(GLOBAL) Government institutions TOTAL|12_28
q115_1|CURRENCY|(GLOBAL) Charities, foundations, non-profit organisations - Non-listed/ commingled real estate funds/private REITs|12_29
q115_2|CURRENCY|(GLOBAL) Charities, foundations, non-profit organisations - Separate accounts investing directly into real estate|12_30
q115_3|CURRENCY|(GLOBAL) Charities, foundations, non-profit organisations - Separate accounts investing into indirect vehicles|12_31
