Column|Format|QuestionText|dtcode|answer_Label|answer_label_condensed|qn_breakdown_label|section|Topic|sub_topic|Question|comment|column_order
q11ROW4_Total_apac|CURRENCY|APAC: South America - TOTAL|15_28|APAC_InvestorDomicileSouthAmerica_VehicleType_Total|APAC_IDSA_VT_Total|South America - Vehicle type total||APAC Capital raised|Investor Domicile and Vehicle Type|q15||352
q115_1_apac|CURRENCY|APAC: Africa - Non-listed/ commingled real estate funds/private REITs|15_29|APAC_InvestorDomicileAfrica_NonListedFunds|APAC_IDAFR_NLF|Africa - Non-listed funds||APAC Capital raised|Investor Domicile and Vehicle Type|q15||353
q115_2_apac|CURRENCY|APAC: Africa - Separate accounts investing directly into real estate|15_30|APAC_InvestorDomicileAfrica_SeparateAccountsDirect|APAC_IDAFR_SepAccDirect|Africa - Separate accounts investing directly||APAC Capital raised|Investor Domicile and Vehicle Type|q15||354
q115_3_apac|CURRENCY|APAC: Africa - Separate accounts investing into indirect vehicles|15_31|APAC_InvestorDomicileAfrica_SeparateAccountsIndirect|APAC_IDAFR_SepAccIndirect|Africa - Separate accounts investing indirectly||APAC Capital raised|Investor Domicile and Vehicle Type|q15||355
q115_4_apac|CURRENCY|APAC: Africa - Joint ventures and club deals|15_32|APAC_InvestorDomicileAfrica_JVs|APAC_IDAFR_JVs|Africa - Joint ventures and club deals||APAC Capital raised|Investor Domicile and Vehicle Type|q15||356
q115_5_apac|CURRENCY|APAC: Africa - Funds of funds|15_33|APAC_InvestorDomicileAfrica_FundsOfFunds|APAC_IDAFR_FOF|Africa - Funds of funds||APAC Capital raised|Investor Domicile and Vehicle Type|q15||357
q115_6_apac|CURRENCY|APAC: Africa - Non-listed debt products|15_34|APAC_InvestorDomicileAfrica_Debt|APAC_IDAFR_Debt|Africa - Non-listed debt products||APAC Capital raised|Investor Domicile and Vehicle Type|q15||358
q11ROW5_Total_apac|CURRENCY|APAC: Africa - TOTAL|15_35|APAC_InvestorDomicileAfrica_VehicleType_Total|APAC_IDAFR_VT_Total|Africa - Vehicle type total||APAC Capital raised|Investor Domicile and Vehicle Type|q15||359
q11COL1_Total_apac|CURRENCY|APAC: TOTAL - Non-listed/ commingled real estate funds/private REITs|15_36|APAC_InvestorDomicile_NonListedFunds_Total|APAC_ID_NLF_Total|Investor domicile total - Non-listed funds||APAC Capital raised|Investor Domicile and Vehicle Type|q15||360
q11COL2_Total_apac|CURRENCY|APAC: TOTAL - Separate accounts investing directly into real estate|15_37|APAC_InvestorDomicile_SeparateAccountsDirect_Total|APAC_ID_SepAccDirect_Total|Investor domicile total - Separate accounts investing directly||APAC Capital raised|Investor Domicile and Vehicle Type|q15||361
q11COL3_Total_apac|CURRENCY|APAC: TOTAL - Separate accounts investing into indirect vehicles|15_38|APAC_InvestorDomicile_SeparateAccountsIndirect_Total|APAC_ID_SepAccIndirect_Total|Investor domicile total - Separate accounts investing indirectly||APAC Capital raised|Investor Domicile and Vehicle Type|q15||362
q11COL4_Total_apac|CURRENCY|APAC: TOTAL - Joint ventures and club deals|15_39|APAC_InvestorDomicile_JVs_Total|APAC_ID_JVs_Total|Investor domicile total - Joint ventures and club deals||APAC Capital raised|Investor Domicile and Vehicle Type|q15||363
q11COL5_Total_apac|CURRENCY|APAC: TOTAL - Funds of funds|15_40|APAC_InvestorDomicile_FundsOfFunds_Total|APAC_ID_FOF_Total|Investor domicile total - Funds of funds||APAC Capital raised|Investor Domicile and Vehicle Type|q15||364
q11COL6_Total_apac|CURRENCY|APAC: TOTAL - Non-listed debt products|15_41|APAC_InvestorDomicile_Debt_Total|APAC_ID_Debt_Total|Investor domicile total - Non-listed debt products||APAC Capital raised|Investor Domicile and Vehicle Type|q15||365
q11GRANDTotal_apac|CURRENCY|APAC TOTAL Capital Raised in 2021 for your Asia Pacific strategy by investor domicile|15_42|APAC_InvestorDomicile_VehicleType_Total|APAC_ID_VT_Total|Investor domicile total - Vehicle type total||APAC Capital raised|Investor Domicile and Vehicle Type|q15||366
_apac||For your Asia Pacific strategy*, how much institutional capital did your company raise for non-listed vehicles in 2021 by sector strategy (million)?|16|||||||q16||367
q161_1_apac|CURRENCY|APAC (Single) Office - Non-listed/ commingled real estate funds/private REITs|16_1|APAC_NonListedFunds_SingleSectorOffice|APAC_NLF_SSOffice|Non-listed funds - Single sector office||APAC Capital raised|Sector Strategy and Vehicle Type|q16||368
q161_2_apac|CURRENCY|APAC (Single) Office - Separate accounts investing directly into real estate|16_2|APAC_SeparateAccountsDirect_SingleSectorOffice|APAC_SepAccDirect_SSOffice|Separate accounts investing directly - Single sector office||APAC Capital raised|Sector Strategy and Vehicle Type|q16||369
q161_3_apac|CURRENCY|APAC (Single) Office - Separate accounts investing into indirect vehicles|16_3|APAC_SeparateAccountsIndirect_SingleSectorOffice|APAC_SepAccIndirect_SSOffice|Separate accounts investing indirectly - Single sector office||APAC Capital raised|Sector Strategy and Vehicle Type|q16||370
q161_4_apac|CURRENCY|APAC (Single) Office - Joint ventures and club deals|16_4|APAC_JVs_SingleSectorOffice|APAC_JVs_SSOffice|Joint ventures and club deals - Single sector office||APAC Capital raised|Sector Strategy and Vehicle Type|q16||371
q161_5_apac|CURRENCY|APAC (Single) Office - Funds of funds|16_5|APAC_FundsOfFunds_SingleSectorOffice|APAC_FOF_SSOffice|Funds of funds - Single sector office||APAC Capital raised|Sector Strategy and Vehicle Type|q16||372
q161_6_apac|CURRENCY|APAC (Single) Office - Non-listed debt products|16_6|APAC_Debt_SingleSectorOffice|APAC_Debt_SSOffice|Non-listed debt products - Single sector office||APAC Capital raised|Sector Strategy and Vehicle Type|q16||373
q16ROW1_Total_apac|CURRENCY|APAC (Single) Office - TOTAL|16_7|APAC_NonListedVehicles_SingleSectorOffice_Total|APAC_NLV_SSOffice_Total|Non-listed vehicles total - Single sector office||APAC Capital raised|Sector Strategy and Vehicle Type|q16||374
q162_1_apac|CURRENCY|APAC (Single) Retail - Non-listed/ commingled real estate funds/private REITs|16_8|APAC_NonListedFunds_SingleSectorRetail|APAC_NLF_SSRetail|Non-listed funds - Single sector retail||APAC Capital raised|Sector Strategy and Vehicle Type|q16||375
q162_2_apac|CURRENCY|APAC (Single) Retail - Separate accounts investing directly into real estate|16_9|APAC_SeparateAccountsDirect_SingleSectorRetail|APAC_SepAccDirect_SSRetail|Separate accounts investing directly - Single sector retail||APAC Capital raised|Sector Strategy and Vehicle Type|q16||376
q162_3_apac|CURRENCY|APAC (Single) Retail - Separate accounts investing into indirect vehicles|16_10|APAC_SeparateAccountsIndirect_SingleSectorRetail|APAC_SepAccIndirect_SSRetail|Separate accounts investing indirectly - Single sector retail||APAC Capital raised|Sector Strategy and Vehicle Type|q16||377
q162_4_apac|CURRENCY|APAC (Single) Retail - Joint ventures and club deals|16_11|APAC_JVs_SingleSectorRetail|APAC_JVs_SSRetail|Joint ventures and club deals - Single sector retail||APAC Capital raised|Sector Strategy and Vehicle Type|q16||378
q162_5_apac|CURRENCY|APAC (Single) Retail - Funds of funds|16_12|APAC_FundsOfFunds_SingleSectorRetail|APAC_FOF_SSRetail|Funds of funds - Single sector retail||APAC Capital raised|Sector Strategy and Vehicle Type|q16||379
q162_6_apac|CURRENCY|APAC (Single) Retail - Non-listed debt products|16_13|APAC_Debt_SingleSectorRetail|APAC_Debt_SSRetail|Non-listed debt products - Single sector retail||APAC Capital raised|Sector Strategy and Vehicle Type|q16||380
q16ROW2_Total_apac|CURRENCY|APAC (Single) Retail - TOTAL|16_14|APAC_NonListedVehicles_SingleSectorRetail_Total|APAC_NLV_SSRetail_Total|Non-listed vehicles total - Single sector retail||APAC Capital raised|Sector Strategy and Vehicle Type|q16||381
q163_1_apac|CURRENCY|APAC (Single) Industrial / logistics - Non-listed/ commingled real estate funds/private REITs|16_15|APAC_NonListedFunds_SingleSectorIndustrial/Logistics|APAC_NLF_SSInd/Log|Non-listed funds - Single sector industrial/logistics||APAC Capital raised|Sector Strategy and Vehicle Type|q16||382
q163_2_apac|CURRENCY|APAC (Single) Industrial / logistics - Separate accounts investing directly into real estate|16_16|APAC_SeparateAccountsDirect_SingleSectorIndustrial/Logistics|APAC_SepAccDirect_SSInd/Log|Separate accounts investing directly - Single sector industrial/logistics||APAC Capital raised|Sector Strategy and Vehicle Type|q16||383
q163_3_apac|CURRENCY|APAC (Single) Industrial / logistics - Separate accounts investing into indirect vehicles|16_17|APAC_SeparateAccountsIndirect_SingleSectorIndustrial/Logistics|APAC_SepAccIndirect_SSInd/Log|Separate accounts investing indirectly - Single sector industrial/logistics||APAC Capital raised|Sector Strategy and Vehicle Type|q16||384
q163_4_apac|CURRENCY|APAC (Single) Industrial / logistics - Joint ventures and club deals|16_18|APAC_JVs_SingleSectorIndustrial/Logistics|APAC_JVs_SSInd/Log|Joint ventures and club deals - Single sector industrial/logistics||APAC Capital raised|Sector Strategy and Vehicle Type|q16||385
q163_5_apac|CURRENCY|APAC (Single) Industrial / logistics - Funds of funds|16_19|APAC_FundsOfFunds_SingleSectorIndustrial/Logistics|APAC_FOF_SSInd/Log|Funds of funds - Single sector industrial/logistics||APAC Capital raised|Sector Strategy and Vehicle Type|q16||386
q163_6_apac|CURRENCY|APAC (Single) Industrial / logistics - Non-listed debt products|16_20|APAC_Debt_SingleSectorIndustrial/Logistics|APAC_Debt_SSInd/Log|Non-listed debt products - Single sector industrial/logistics||APAC Capital raised|Sector Strategy and Vehicle Type|q16||387
q16ROW3_Total_apac|CURRENCY|APAC (Single) Industrial / logistics - TOTAL|16_21|APAC_NonListedVehicles_SingleSectorIndustrial/Logistics_Total|APAC_NLV_SSInd/Log_Total|Non-listed vehicles total - Single sector industrial/logistics||APAC Capital raised|Sector Strategy and Vehicle Type|q16||388
q164_1_apac|CURRENCY|APAC (Single) Residential / multi-family / apartments - Non-listed/ commingled real estate funds/private REITs|16_22|APAC_NonListedFunds_SingleSectorResidential/Multifamily/Apartments|APAC_NLF_SSResidential|Non-listed funds - Single sector residential/multifamily/ apartment||APAC Capital raised|Sector Strategy and Vehicle Type|q16||389
q164_2_apac|CURRENCY|APAC (Single) Residential / multi-family / apartments - Separate accounts investing directly into real estate|16_23|APAC_SeparateAccountsDirect_SingleSectorResidential/Multifamily/Apartments|APAC_SepAccDirect_SSResidential|Separate accounts investing directly - Single sector residential/multifamily/ apartment||APAC Capital raised|Sector Strategy and Vehicle Type|q16||390
q164_3_apac|CURRENCY|APAC (Single) Residential / multi-family / apartments - Separate accounts investing into indirect vehicles|16_24|APAC_SeparateAccountsIndirect_SingleSectorResidential/Multifamily/Apartments|APAC_SepAccIndirect_SSResidential|Separate accounts investing indirectly - Single sector residential/multifamily/ apartment||APAC Capital raised|Sector Strategy and Vehicle Type|q16||391
q164_4_apac|CURRENCY|APAC (Single) Residential / multi-family / apartments - Joint ventures and club deals|16_25|APAC_JVs_SingleSectorResidential/Multifamily/Apartments|APAC_JVs_SSResidential|Joint ventures and club deals - Single sector residential/multifamily/ apartment||APAC Capital raised|Sector Strategy and Vehicle Type|q16||392
q164_5_apac|CURRENCY|APAC (Single) Residential / multi-family / apartments - Funds of funds|16_26|APAC_FundsOfFunds_SingleSectorResidential/Multifamily/Apartments|APAC_FOF_SSResidential|Funds of funds - Single sector residential/multifamily/ apartment||APAC Capital raised|Sector Strategy and Vehicle Type|q16||393
q164_6_apac|CURRENCY|APAC (Single) Residential / multi-family / apartments - Non-listed debt products|16_27|APAC_Debt_SingleSectorResidential/Multifamily/Apartments|APAC_Debt_SSResidential|Non-listed debt products - Single sector residential/multifamily/ apartment||APAC Capital raised|Sector Strategy and Vehicle Type|q16||394
q16ROW4_Total_apac|CURRENCY|APAC (Single) Residential / multi-family / apartments - TOTAL|16_28|APAC_NonListedVehicles_SingleSectorResidential/Multifamily/Apartments_Total|APAC_NLV_SSResidential_Total|Non-listed vehicles total - Single sector residential/multifamily/ apartment||APAC Capital raised|Sector Strategy and Vehicle Type|q16||395
q165_1_apac|CURRENCY|APAC (Single) Residential / multi-family / apartments - Non-listed/ commingled real estate funds/private REITs|16_29|APAC_NonListedFunds_SingleSectorStudentHousing|APAC_NLF_SSStudHou|Non-listed funds - Single sector student housing||APAC Capital raised|Sector Strategy and Vehicle Type|q16||396
q165_2_apac|CURRENCY|APAC (Single) Residential / multi-family / apartments - Separate accounts investing directly into real estate|16_30|APAC_SeparateAccountsDirect_SingleSectorStudentHousing|APAC_SepAccDirect_SSStudHou|Separate accounts investing directly - Single sector student housing||APAC Capital raised|Sector Strategy and Vehicle Type|q16||397
q165_3_apac|CURRENCY|APAC (Single) Residential / multi-family / apartments - Separate accounts investing into indirect vehicles|16_31|APAC_SeparateAccountsIndirect_SingleSectorStudentHousing|APAC_SepAccIndirect_SSStudHou|Separate accounts investing indirectly - Single sector student housing||APAC Capital raised|Sector Strategy and Vehicle Type|q16||398
q165_4_apac|CURRENCY|APAC (Single) Residential / multi-family / apartments - Joint ventures and club deals|16_32|APAC_JVs_SingleSectorStudentHousing|APAC_JVs_SSStudHou|Joint ventures and club deals - Single sector student housing||APAC Capital raised|Sector Strategy and Vehicle Type|q16||399
q165_5_apac|CURRENCY|APAC (Single) Residential / multi-family / apartments - Funds of funds|16_33|APAC_FundsOfFunds_SingleSectorStudentHousing|APAC_FOF_SSStudHou|Funds of funds - Single sector student housing||APAC Capital raised|Sector Strategy and Vehicle Type|q16||400
q165_6_apac|CURRENCY|APAC (Single) Residential / multi-family / apartments - Non-listed debt products|16_34|APAC_Debt_SingleSectorStudentHousing|APAC_Debt_SSStudHou|Non-listed debt products - Single sector student housing||APAC Capital raised|Sector Strategy and Vehicle Type|q16||401
q16ROW5_Total_apac|CURRENCY|APAC (Single) Residential / multi-family / apartments - TOTAL|16_35|APAC_NonListedVehicles_SingleSectorStudentHousing_Total|APAC_NLV_SSStudHou_Total|Non-listed vehicles total - Single sector student housing||APAC Capital raised|Sector Strategy and Vehicle Type|q16||402
q166_1_apac|CURRENCY|APAC (Single) Senior living / aged care / health care - Non-listed/ commingled real estate funds/private REITs|16_36|APAC_NonListedFunds_SingleSectorSeniorLiving/Agedcare/Healthcare|APAC_NLF_SSSenLiving|Non-listed funds - Single sector senior living/ aged care/ healthcare||APAC Capital raised|Sector Strategy and Vehicle Type|q16||403
q166_2_apac|CURRENCY|APAC (Single) Senior living / aged care / health care - Separate accounts investing directly into real estate|16_37|APAC_SeparateAccountsDirect_SingleSectorSeniorLiving/Agedcare/Healthcare|APAC_SepAccDirect_SSSenLiving|Separate accounts investing directly - Single sector senior living/ aged care/ healthcare||APAC Capital raised|Sector Strategy and Vehicle Type|q16||404
q166_3_apac|CURRENCY|APAC (Single) Senior living / aged care / health care - Separate accounts investing into indirect vehicles|16_38|APAC_SeparateAccountsIndirect_SingleSectorSeniorLiving/Agedcare/Healthcare|APAC_SepAccIndirect_SSSenLiving|Separate accounts investing indirectly - Single sector senior living/ aged care/ healthcare||APAC Capital raised|Sector Strategy and Vehicle Type|q16||405
q166_4_apac|CURRENCY|APAC (Single) Senior living / aged care / health care - Joint ventures and club deals|16_39|APAC_JVs_SingleSectorSeniorLiving/Agedcare/Healthcare|APAC_JVs_SSSenLiving|Joint ventures and club deals - Single sector senior living/ aged care/ healthcare||APAC Capital raised|Sector Strategy and Vehicle Type|q16||406
q166_5_apac|CURRENCY|APAC (Single) Senior living / aged care / health care - Funds of funds|16_40|APAC_FundsOfFunds_SingleSectorSeniorLiving/Agedcare/Healthcare|APAC_FOF_SSSenLiving|Funds of funds - Single sector senior living/ aged care/ healthcare||APAC Capital raised|Sector Strategy and Vehicle Type|q16||407
q166_6_apac|CURRENCY|APAC (Single) Senior living / aged care / health care - Non-listed debt products|16_41|APAC_Debt_SingleSectorSeniorLiving/Agedcare/Healthcare|APAC_Debt_SSSenLiving|Non-listed debt products - Single sector senior living/ aged care/ healthcare||APAC Capital raised|Sector Strategy and Vehicle Type|q16||408
q16ROW6_Total_apac|CURRENCY|APAC (Single) Senior living / aged care / health care - TOTAL|16_42|APAC_NonListedVehicles_SingleSectorSeniorLiving/Agedcare/Healthcare_Total|APAC_NLV_SSSenLiving_Total|Non-listed vehicles total - Single sector senior living/ aged care/ healthcare||APAC Capital raised|Sector Strategy and Vehicle Type|q16||409
q167_1_apac|CURRENCY|APAC (Single) Hotel / leisure - Non-listed/ commingled real estate funds/private REITs|16_43|APAC_NonListedFunds_SingleSectorHotel/Leisure|APAC_NLF_SSHot/Lei|Non-listed funds - Single sector hotel/ leisure||APAC Capital raised|Sector Strategy and Vehicle Type|q16||410
q167_2_apac|CURRENCY|APAC (Single) Hotel / leisure - Separate accounts investing directly into real estate|16_44|APAC_SeparateAccountsDirect_SingleSectorHotel/Leisure|APAC_SepAccDirect_SSHot/Lei|Separate accounts investing directly - Single sector hotel/ leisure||APAC Capital raised|Sector Strategy and Vehicle Type|q16||411
q167_3_apac|CURRENCY|APAC (Single) Hotel / leisure - Separate accounts investing into indirect vehicles|16_45|APAC_SeparateAccountsIndirect_SingleSectorHotel/Leisure|APAC_SepAccIndirect_SSHot/Lei|Separate accounts investing indirectly - Single sector hotel/ leisure||APAC Capital raised|Sector Strategy and Vehicle Type|q16||412
q167_4_apac|CURRENCY|APAC (Single) Hotel / leisure - Joint ventures and club deals|16_46|APAC_JVs_SingleSectorHotel/Leisure|APAC_JVs_SSHot/Lei|Joint ventures and club deals - Single sector hotel/ leisure||APAC Capital raised|Sector Strategy and Vehicle Type|q16||413
q167_5_apac|CURRENCY|APAC (Single) Hotel / leisure - Funds of funds|16_47|APAC_FundsOfFunds_SingleSectorHotel/Leisure|APAC_FOF_SSHot/Lei|Funds of funds - Single sector hotel/ leisure||APAC Capital raised|Sector Strategy and Vehicle Type|q16||414
q167_6_apac|CURRENCY|APAC (Single) Hotel / leisure - Non-listed debt products|16_48|APAC_Debt_SingleSectorHotel/Leisure|APAC_Debt_SSHot/Lei|Non-listed debt products - Single sector hotel/ leisure||APAC Capital raised|Sector Strategy and Vehicle Type|q16||415
q16ROW7_Total_apac|CURRENCY|APAC (Single) Hotel / leisure - TOTAL|16_49|APAC_NonListedVehicles_SingleSectorHotel/Leisure_Total|APAC_NLV_SSHot/Lei_Total|Non-listed vehicles total - Single sector hotel/ leisure||APAC Capital raised|Sector Strategy and Vehicle Type|q16||416
q168_1_apac|CURRENCY|APAC (Single) Other (incl land, parking, self storage) - Non-listed/ commingled real estate funds/private REITs|16_50|APAC_NonListedFunds_SingleSectorOther|APAC_NLF_SSOther|Non-listed funds - Single sector other||APAC Capital raised|Sector Strategy and Vehicle Type|q16||417
q168_2_apac|CURRENCY|APAC (Single) Other (incl land, parking, self storage) - Separate accounts investing directly into real estate|16_51|APAC_SeparateAccountsDirect_SingleSectorOther|APAC_SepAccDirect_SSOther|Separate accounts investing directly - Single sector other||APAC Capital raised|Sector Strategy and Vehicle Type|q16||418
q168_3_apac|CURRENCY|APAC (Single) Other (incl land, parking, self storage) - Separate accounts investing into indirect vehicles|16_52|APAC_SeparateAccountsIndirect_SingleSectorOther|APAC_SepAccIndirect_SSOther|Separate accounts investing indirectly - Single sector other||APAC Capital raised|Sector Strategy and Vehicle Type|q16||419
q168_4_apac|CURRENCY|APAC (Single) Other (incl land, parking, self storage) - Joint ventures and club deals|16_53|APAC_JVs_SingleSectorOther|APAC_JVs_SSOther|Joint ventures and club deals - Single sector other||APAC Capital raised|Sector Strategy and Vehicle Type|q16||420
q168_5_apac|CURRENCY|APAC (Single) Other (incl land, parking, self storage) - Funds of funds|16_54|APAC_FundsOfFunds_SingleSectorOther|APAC_FOF_SSOther|Funds of funds - Single sector other||APAC Capital raised|Sector Strategy and Vehicle Type|q16||421
q168_6_apac|CURRENCY|APAC (Single) Other (incl land, parking, self storage) - Non-listed debt products|16_55|APAC_Debt_SingleSectorOther|APAC_Debt_SSOther|Non-listed debt products - Single sector other||APAC Capital raised|Sector Strategy and Vehicle Type|q16||422
q16ROW8_Total_apac|CURRENCY|APAC (Single) Other (incl land, parking, self storage) - TOTAL|16_56|APAC_NonListedVehicles_SingleSectorOther_Total|APAC_NLV_SSOther_Total|Non-listed vehicles total - Single sector other||APAC Capital raised|Sector Strategy and Vehicle Type|q16||423
q169_1_apac|CURRENCY|APAC (Multi) Main sectors - Non-listed/ commingled real estate funds/private REITs|16_57|APAC_NonListedFunds_MultiSectorMainSectors|APAC_NLF_MSMS|Non-listed funds - Multi sector main sectors ||APAC Capital raised|Sector Strategy and Vehicle Type|q16||424
q169_2_apac|CURRENCY|APAC (Multi) Main sectors - Separate accounts investing directly into real estate|16_58|APAC_SeparateAccountsDirect_MultiSectorMainSectors|APAC_SepAccDirect_MSMS|Separate accounts investing directly - Multi sector main sectors||APAC Capital raised|Sector Strategy and Vehicle Type|q16||425
q169_3_apac|CURRENCY|APAC (Multi) Main sectors - Separate accounts investing into indirect vehicles|16_59|APAC_SeparateAccountsIndirect_MultiSectorMainSectors|APAC_SepAccIndirect_MSMS|Separate accounts investing indirectly - Multi sector main sectors||APAC Capital raised|Sector Strategy and Vehicle Type|q16||426
q169_4_apac|CURRENCY|APAC (Multi) Main sectors - Joint ventures and club deals|16_60|APAC_JVs_MultiSectorMainSectors|APAC_JVs_MSMS|Joint ventures and club deals - Multi sector main sectors||APAC Capital raised|Sector Strategy and Vehicle Type|q16||427
q169_5_apac|CURRENCY|APAC (Multi) Main sectors - Funds of funds|16_61|APAC_FundsOfFunds_MultiSectorMainSectors|APAC_FOF_MSMS|Funds of funds - Multi sector main sectors||APAC Capital raised|Sector Strategy and Vehicle Type|q16||428
q169_6_apac|CURRENCY|APAC (Multi) Main sectors - Non-listed debt products|16_62|APAC_Debt_MultiSectorMainSectors|APAC_Debt_MSMS|Non-listed debt products - Multi sector main sectors||APAC Capital raised|Sector Strategy and Vehicle Type|q16||429
q16ROW9_Total_apac|CURRENCY|APAC (Multi) Main sectors - TOTAL|16_63|APAC_NonListedVehicles_MultiSectorMainSectors_Total|APAC_NLV_MSMS_Total|Non-listed vehicles total - Multi sector main sectors||APAC Capital raised|Sector Strategy and Vehicle Type|q16||430
q1610_1_apac|CURRENCY|APAC (Multi) Alternative sectors - Non-listed/ commingled real estate funds/private REITs|16_64|APAC_NonListedFunds_MultiSectorAlternativeSectors|APAC_NLF_MSAS|Non-listed funds - Multi sector alternative sectors||APAC Capital raised|Sector Strategy and Vehicle Type|q16||431
q1610_2_apac|CURRENCY|APAC (Multi) Alternative sectors - Separate accounts investing directly into real estate|16_65|APAC_SeparateAccountsDirect_MultiSectorAlternativeSectors|APAC_SepAccDirect_MSAS|Separate accounts investing directly - Multi sector alternative sectors||APAC Capital raised|Sector Strategy and Vehicle Type|q16||432
q1610_3_apac|CURRENCY|APAC (Multi) Alternative sectors - Separate accounts investing into indirect vehicles|16_66|APAC_SeparateAccountsIndirect_MultiSectorAlternativeSectors|APAC_SepAccIndirect_MSAS|Separate accounts investing indirectly - Multi sector alternative sectors||APAC Capital raised|Sector Strategy and Vehicle Type|q16||433
q1610_4_apac|CURRENCY|APAC (Multi) Alternative sectors - Joint ventures and club deals|16_67|APAC_JVs_MultiSectorAlternativeSectors|APAC_JVs_MSAS|Joint ventures and club deals - Multi sector alternative sectors||APAC Capital raised|Sector Strategy and Vehicle Type|q16||434
q1610_5_apac|CURRENCY|APAC (Multi) Alternative sectors - Funds of funds|16_68|APAC_FundsOfFunds_MultiSectorAlternativeSectors|APAC_FOF_MSAS|Funds of funds - Multi sector alternative sectors||APAC Capital raised|Sector Strategy and Vehicle Type|q16||435
q1610_6_apac|CURRENCY|APAC (Multi) Alternative sectors - Non-listed debt products|16_69|APAC_Debt_MultiSectorAlternativeSectors|APAC_Debt_MSAS|Non-listed debt products - Multi sector alternative sectors||APAC Capital raised|Sector Strategy and Vehicle Type|q16||436
q16ROW10_Total_apac|CURRENCY|APAC (Multi) Alternative sectors - TOTAL|16_70|APAC_NonListedVehicles_MultiSectorAlternativeSectors_Total|APAC_NLV_MSAS_Total|Non-listed vehicles total - Multi sector alternative sectors||APAC Capital raised|Sector Strategy and Vehicle Type|q16||437
q1611_1_apac|CURRENCY|APAC (Multi) Mix of main and alternative - Non-listed/ commingled real estate funds/private REITs|16_71|APAC_NonListedFunds_MultiSectorMixMainAlternativeSectors|APAC_NLF_MSAS|Non-listed funds - Multi sector mix of main and alternative sectors||APAC Capital raised|Sector Strategy and Vehicle Type|q16||438
q1611_2_apac|CURRENCY|APAC (Multi) Mix of main and alternative - Separate accounts investing directly into real estate|16_72|APAC_SeparateAccountsDirect_MultiSectorMixMainAlternativeSectors|APAC_SepAccDirect_MSMMAS|Separate accounts investing directly - Multi sector mix of main and alternative sectors||APAC Capital raised|Sector Strategy and Vehicle Type|q16||439
q1611_3_apac|CURRENCY|APAC (Multi) Mix of main and alternative - Separate accounts investing into indirect vehicles|16_73|APAC_SeparateAccountsIndirect_MultiSectorMixMainAlternativeSectors|APAC_SepAccIndirect_MSMMAS|Separate accounts investing indirectly - Multi sector mix of main and alternative sectors||APAC Capital raised|Sector Strategy and Vehicle Type|q16||440
q1611_4_apac|CURRENCY|APAC (Multi) Mix of main and alternative - Joint ventures and club deals|16_74|APAC_JVs_MultiSectorMixMainAlternativeSectors|APAC_JVs_MSMMAS|Joint ventures and club deals - Multi sector mix of main and alternative sectors||APAC Capital raised|Sector Strategy and Vehicle Type|q16||441
q1611_5_apac|CURRENCY|APAC (Multi) Mix of main and alternative - Funds of funds|16_75|APAC_FundsOfFunds_MultiSectorMixMainAlternativeSectors|APAC_FOF_MSMMAS|Funds of funds - Multi sector mix of main and alternative sectors||APAC Capital raised|Sector Strategy and Vehicle Type|q16||442
q1611_6_apac|CURRENCY|APAC (Multi) Mix of main and alternative - Non-listed debt products|16_76|APAC_Debt_MultiSectorMixMainAlternativeSectors|APAC_Debt_MSMMAS|Non-listed debt products - Multi sector mix of main and alternative sectors||APAC Capital raised|Sector Strategy and Vehicle Type|q16||443
q16ROW11_Total_apac|CURRENCY|APAC (Multi) Mix of main and alternative - TOTAL|16_77|APAC_NonListedVehicles_MultiSectorMixMainAlternativeSectors_Total|APAC_NLV_MSMMAS_Total|Non-listed vehicles total - Multi sector mix of main and alternative sectors||APAC Capital raised|Sector Strategy and Vehicle Type|q16||444
q16COL1_Total_apac|CURRENCY|TOTAL (APAC): Non-listed/ commingled real estate funds/private REITs|16_78|APAC_SectorStrategy_NonListedFunds_Total|APAC_SS_NLF_Total|Sector strategy total - Non-listed funds ||APAC Capital raised|Sector Strategy and Vehicle Type|q16||445
q16COL2_Total_apac|CURRENCY|TOTAL (APAC): Separate accounts investing directly into real estate|16_79|APAC_SectorStrategy_SeparateAccountsDirect_Total|APAC_SS_SepAccDirect_Total|Sector strategy total - Separate accounts investing directly||APAC Capital raised|Sector Strategy and Vehicle Type|q16||446
q16COL3_Total_apac|CURRENCY|TOTAL (APAC): Separate accounts investing into indirect vehicles|16_80|APAC_SectorStrategy_SeparateAccountsIndirect_Total|APAC_SS_SepAccIndirect_Total|Sector strategy total - Separate accounts investing indirectly||APAC Capital raised|Sector Strategy and Vehicle Type|q16||447
q16COL4_Total_apac|CURRENCY|TOTAL (APAC): Joint ventures and club deals|16_81|APAC_SectorStrategy_JVs_Total|APAC_SS_JVs_Total|Sector strategy total - Joint ventures and club deals||APAC Capital raised|Sector Strategy and Vehicle Type|q16||448
q16COL5_Total_apac|CURRENCY|TOTAL (APAC): Funds of funds|16_82|APAC_SectorStrategy_FundsOfFunds_Total|APAC_SS_FOF_Total|Sector strategy total - Funds of funds ||APAC Capital raised|Sector Strategy and Vehicle Type|q16||449
q16COL6_Total_apac|CURRENCY|TOTAL (APAC): Non-listed debt products|16_83|APAC_SectorStrategy_Debt_Total|APAC_SS_Debt_Total|Sector strategy total - Non-listed debt products||APAC Capital raised|Sector Strategy and Vehicle Type|q16||450
